SubType,FaSchemaVersion,FlowType,DestIp,SrcPorts,DestPort,L4Protocol,L7Protocol,IsFlowCapturedAtUdrHop,FlowDirection,FlowStatus,TargetResourceType,DestRegion,DestSubnet,Country,AzureRegion,FlowEncryption,AllowedInFlows,DeniedInFlows,AllowedOutFlows,DeniedOutFlows,PacketsDestToSrc,PacketsSrcToDest,BytesDestToSrc,BytesSrcToDest,CompletedFlows,SrcPublicIps,Type,packet_data
FlowLog,3,ExternalPublic,10.0.0.6,,"10,015",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,gb,,Unencrypted,0,1,0,0,0,0,0,0,0,193.163.125.229|1|0|0|0|0|0,NTANetAnalytics,"GET /index.html HTTP/1.1
Host: example.com
User-Agent: curl/7.68.0
Accept: */*

"
FlowLog,3,ExternalPublic,10.0.0.6,,"10,051",TCP,zabbix-trapper,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,hk,,Unencrypted,0,1,0,0,0,0,0,0,0,154.212.141.187|1|0|0|0|0|0,NTANetAnalytics,"POST /login HTTP/1.1
Host: secure.site
Content-Type: application/x-www-form-urlencoded
Content-Length: 29

username=admin&password=1234"
FlowLog,3,AzurePublic,10.0.0.6,,102,TCP,iso-tsap,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,,southcentralus,Unencrypted,0,1,0,0,0,0,0,0,0,20.64.104.53|1|0|0|0|0|0,NTANetAnalytics,"HTTP/1.1 200 OK
Date: Sat, 12 Apr 2025 15:00:00 GMT
Server: Apache/2.4.41 (Ubuntu)
Content-Type: text/html
Content-Length: 125

<html><body><h1>Welcome</h1></body></html>"
FlowLog,3,ExternalPublic,10.0.0.6,,"11,211",TCP,memcache,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,209.222.98.101|1|0|0|0|0|0,NTANetAnalytics,"PUT /api/data HTTP/1.1
Host: api.example.com
Content-Type: application/json
Content-Length: 48

{""sensor"":""temperature"",""value"":22.5}"
FlowLog,3,ExternalPublic,10.0.0.6,,"11,300",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,167.94.146.28|1|0|0|0|0|0,NTANetAnalytics,"DELETE /user/123 HTTP/1.1
Host: app.example.com
Authorization: Bearer token123456

"
FlowLog,3,ExternalPublic,10.0.0.6,,"11,682",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,162.216.150.240|1|0|0|0|0|0,NTANetAnalytics,"GET /index.html HTTP/1.1
Host: example.com
User-Agent: curl/7.68.0
Accept: */*

"
FlowLog,3,ExternalPublic,10.0.0.6,,"1,244",TCP,isbconference1,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,206.168.35.198|1|0|0|0|0|0,NTANetAnalytics,"POST /login HTTP/1.1
Host: secure.site
Content-Type: application/x-www-form-urlencoded
Content-Length: 29

username=admin&password=1234"
FlowLog,3,ExternalPublic,10.0.0.6,,"1,261",TCP,mpshrsv,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,fr,,Unencrypted,0,1,0,0,0,0,0,0,0,91.196.152.216|1|0|0|0|0|0,NTANetAnalytics,"HTTP/1.1 200 OK
Date: Sat, 12 Apr 2025 15:00:00 GMT
Server: Apache/2.4.41 (Ubuntu)
Content-Type: text/html
Content-Length: 125

<html><body><h1>Welcome</h1></body></html>"
FlowLog,3,ExternalPublic,10.0.0.6,,"1,434",UDP,ms-sql-m,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,104.221.226.31|1|0|0|0|0|0,NTANetAnalytics,"PUT /api/data HTTP/1.1
Host: api.example.com
Content-Type: application/json
Content-Length: 48

{""sensor"":""temperature"",""value"":22.5}"
FlowLog,3,ExternalPublic,10.0.0.6,,"17,186",UDP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,206.168.35.153|1|0|0|0|0|0,NTANetAnalytics,"DELETE /user/123 HTTP/1.1
Host: app.example.com
Authorization: Bearer token123456

"
FlowLog,3,ExternalPublic,10.0.0.6,,177,UDP,xdmcp,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,167.94.138.130|1|0|0|0|0|0,NTANetAnalytics,"GET /index.html HTTP/1.1
Host: example.com
User-Agent: curl/7.68.0
Accept: */*

"
FlowLog,3,ExternalPublic,10.0.0.6,,"17,800",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,nl,,Unencrypted,0,1,0,0,0,0,0,0,0,89.248.165.69|1|0|0|0|0|0,NTANetAnalytics,"POST /login HTTP/1.1
Host: secure.site
Content-Type: application/x-www-form-urlencoded
Content-Length: 29

username=admin&password=1234"
FlowLog,3,ExternalPublic,10.0.0.6,,"1,833",TCP,udpradio,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,fr,,Unencrypted,0,1,0,0,0,0,0,0,0,91.196.152.34|1|0|0|0|0|0,NTANetAnalytics,"HTTP/1.1 200 OK
Date: Sat, 12 Apr 2025 15:00:00 GMT
Server: Apache/2.4.41 (Ubuntu)
Content-Type: text/html
Content-Length: 125

<html><body><h1>Welcome</h1></body></html>"
FlowLog,3,ExternalPublic,10.0.0.6,,"2,022",TCP,down,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,ua,,Unencrypted,0,1,0,0,0,0,0,0,0,195.211.191.28|1|0|0|0|0|0,NTANetAnalytics,"PUT /api/data HTTP/1.1
Host: api.example.com
Content-Type: application/json
Content-Length: 48

{""sensor"":""temperature"",""value"":22.5}"
FlowLog,3,ExternalPublic,10.0.0.6,,"21,021",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,us,,Unencrypted,0,1,0,0,0,0,0,0,0,162.216.150.21|1|0|0|0|0|0,NTANetAnalytics,"DELETE /user/123 HTTP/1.1
Host: app.example.com
Authorization: Bearer token123456

"
FlowLog,3,ExternalPublic,10.0.0.6,,"21,271",TCP,Unknown,FALSE,Inbound,Denied,VirtualNetwork,eastus2,mitm/windowsclient-vnet/default,gb,,Unencrypted,0,1,0,0,0,0,0,0,0,193.163.125.248|1|0|0|0|0|0,NTANetAnalytics,"GET /index.html HTTP/1.1
Host: example.com
User-Agent: curl/7.68.0
Accept: */*

"
